Word,Speak,Slang,Written
More,อีก,,
Teach,สอน,,
Student,นักเรียน,,
Last, ago,ที่แล้ว,,
Next, page, face (day, month, year),หน้า,,
Next one,ต่อไป,,
Page no,หน้าที่,,
The face,,ใบหน้า
This,นี้,,
That (2 ways),นั้น,นั่น,
This sunday,วันอาทิตย์นี้,,
This month,เดือนนี้,,
Last night,เมื่อคืน,,
Night ago,คืนที่แล้ว,,
Every,ทุก,,
Within,ภายใน,,
Hour,ชั่วโมง,,
O’clock 24h,นาฬิกา,,
O’clock 12h,โมง,,
Which one?,อันไหน,,
This one,อันนี้,,
That one,อันนั้น,,
About (приблизительно, in general),ประมาณ,,
About (topic),เรื่อง,,
About (details),เกี่ยวกับ,,
Around (приблизительно, time),ราวๆ,,
Around (вокруг, по кругу),รอบๆ,,
Around (world, country, mall),ทั่ว,,
Until,จนถึง,,
To, till,ถึง,,
Since (day),ตั้งแต่,,
From (day),จาก,,
Is, am, are (является),เป็น,คือ,
Is, am, are (находится),อยู่,,
Is, am, are (name),ชื่อ,,
