Word,Speak,Slang,Written
Directions,ทิศทาง,,
North,ทิศเหน,,
South,ทิศใต้,,
East,ทิศตะวันออก,,
West,ทิศตะวันตก,,
Turn,เลี้ยว,,
Right,ขวา,,
Left,ซ้าย,,
Go straight,ฃรงไป,,
Fast,เร็ว,,
Hurry,รีบ,,
Traffic light,ไฟจราจร,,
Stop (In general),หยุด,,
Stop / park,จอด,,
Continue going,เรื่อยๆ,,
Road,ถนน,,
End,สุด,,
Until,จนถึง,,
Get to / Reach,ไปถึง,,
The intersection,ทางแยก,,
Crossroads,สี่แยก,,
Minibus,รถสองแถว,,
Cross (Verb),ข้าม,,
Bridge,สะพาน,,
About,ประมาณ,,
Which way?,ทางไหน,,
Left hand side,ซ้ายมือ,,
Right hand side,ขวามือ,,
Walk on feet,เดิน,,
Roundabout (circle),วงเวียน,,
Take the first exit,ทางออกที่1,,
Pass by (easy),ผ่าน,,
Pass by (hard),ทะลุ,,
Go out, to leave,ออก,,
Overtake,Обгон,แซง,
Pass in opposite direction,สวน,,
Personal,ส่วนบุคคล,,
Permission,อนุญาต,,
Sign,ป้าย,,
Loud,เสียงดัง,,
