Word,Speak,Slang,Written
The place,สถานที่,,
Station,สถานี,,
Shop,ร้านค้า,,
Village,หมู่บ้าน,,
Hospital,โรงพยาบาล,,
Pharmacy,ร้านขายยา,,
Airport,สนามบิน,,
Hotel,โรงแรม,,
Bank,ธนาคาร,,
Restaurant,ร้านอาหาร,,
Zoo,สวนสัตว์,,
Car park spot,ที่จอดรถ,,
Car park lot,ลานจอดรถ,,
Police station,สถานีตำรวจ,โรงพัก
Railway station,สถานีรถไฟ,,
Gasoline station,ปั๊มน้ำมัน,,
Book shop,ร้านหนังสือ,,
Museum,พิพิธภัณฑ์,,
Market,ตลาด,,
Bus station,ป้ายรถเมล์,ป้ายรสบัส
Post office,ไปรษะณีย์,ที่ทำการไปรษะณีย์
Bakery,ร้านเบเกอรี่,,
Cinema,โรงหนัง,โรงภาพยนต์
Shoe shop,ร้านรองเท้า,,
Clothes shop,ร้านเสื้อผ้า,,
